Company,AI Pricing Model,Category,Employees,URL
activtrak,Tiered,Human Resources & Legal,101-1000,https://activtrak.com/pricing
aftership,Tiered,Supply Chain & Logistics,101-1000,https://aftership.com/pricing
aha,Addon,Project Management & Maintenance,101-1000,https://www.aha.io/pricing
ahrefs,Tiered,Analytics,101-1000,https://ahrefs.com/pricing
aircall,Addon,Collaboration & Productivity,101-1000,https://aircall.io/pricing/
airtable,Addon,Collaboration & Productivity,101-1000,https://www.airtable.com/pricing
aiven,Usage,Artificial Intelligence,101-1000,https://aiven.io/pricing?product=kafka
algolia,Tiered,Design & Development,101-1000,https://www.algolia.com/pricing/
amplitude,Tiered,Analytics,101-1000,https://amplitude.com/pricing
anaconda,Usage,Artificial Intelligence,101-1000,https://www.anaconda.com/pricing/organizations
anyword,Tiered,Collaboration & Productivity,101-1000,https://anyword.com/pricing/
appfollow,Tiered,Marketing & Sales,51-100,https://appfollow.io/pricing
asana,Usage,Project Management & Maintenance,1001-10000,https://asana.com/pricing
assemblyai,Usage,Artificial Intelligence,101-1000,https://www.assemblyai.com/pricing
atlassian,Tiered,Project Management & Maintenance,10000+,https://www.atlassian.com/software/confluence/pricing
atlassian.jira,Tiered,Project Management & Maintenance,10000+,https://www.atlassian.com/software/jira/pricing
avoma,Tiered,Marketing & Sales,51-100,https://avoma.com/pricing
aws.kendra,Usage,Artificial Intelligence,10000+,https://aws.amazon.com/kendra/pricing
blameless,Tiered,Cybersecurity & IT Management,51-100,https://blameless.com/pricing
botpress,Usage,Artificial Intelligence,11-50,https://botpress.com/pricing
box,Usage,Collaboration & Productivity,1001-10000,https://www.box.com/pricing/individual
breezy,Addon,Human Resources & Legal,101-1000,https://breezy.hr/pricing
buffer,Tiered,Collaboration & Productivity,101-1000,https://buffer.com/pricing
canva,Tiered,Design & Development,1001-10000,https://www.canva.com/pricing/
caspio,Usage,Design & Development,101-1000,https://caspio.com/pricing
clarifai,Usage,Artificial Intelligence,51-100,https://clarifai.com/pricing
cledara,Tiered,Financial & Accounting,51-100,https://cledara.com/pricing
clevertap,Tiered,Marketing & Sales,101-1000,https://clevertap.com/pricing/
clickup,Addon,Project Management & Maintenance,1001-10000,https://clickup.com/pricing
coda,Usage,Collaboration & Productivity,101-1000,https://coda.io/pricing
codecademy,Tiered,Design & Development,101-1000,https://codecademy.com/pricing
cohere,Usage,Artificial Intelligence,101-1000,https://cohere.com/pricing
constantcontact,Tiered,Collaboration & Productivity,1001-10000,https://www.constantcontact.com/pricing
coschedule,Tiered,Marketing & Sales,51-100,https://coschedule.com/pricing
couchbase,Usage,Artificial Intelligence,101-1000,https://www.couchbase.com/pricing/
databricks,Usage,Analytics,1001-10000,https://www.databricks.com/product/pricing
deel,Tiered,Human Resources & Legal,1001-10000,https://deel.com/pricing
deepbrain,Usage,Artificial Intelligence,51-100,https://www.deepbrain.io/pricing
deepgram,Usage,Artificial Intelligence,101-1000,https://deepgram.com/pricing
edenai,Usage,Artificial Intelligence,101-1000,https://www.edenai.co/pricing
elementor,Tiered,Collaboration & Productivity,101-1000,https://elementor.com/pricing
employment-hero,Tiered,Human Resources & Legal,101-1000,https://employmenthero.com/pricing/
evernote,Tiered,Collaboration & Productivity,101-1000,https://evernote.com/pricing
flatfile,Tiered,Design & Development,51-100,https://flatfile.com/pricing/
getresponse,Tiered,Collaboration & Productivity,101-1000,https://getresponse.com/pricing
getshogun,Tiered,Marketing & Sales,101-1000,https://getshogun.com/pricing/
